#---EXFOR Request #2089
#---EXFOR Standard Output---
#=============================================================================
#DATASET        14369003 
#NOW            2016/08/29:04:32:38
#SUBENT         14369003   20130625
#ENTRY          14369      20130625
#AUTHOR1        J.S.Fraser+
#YEAR           1966
#X4REF1         J,ARN,16,379,1966
#REFERENCE1     Jour: Annual Review of Nuclear and Part.Sci., Vol.16, p.379 (1966)
#REACTION       92-U-235(N,F)MASS,PR/FRG,NU
#D4REAC         R0#
#C4Reaction     (N,F)MASS,PR/FRG,NU
#ReactionType   NU
#Quantity       Mult. of prompt neutrons from the fragment spec.
#IndVarFamCode  [0 2    7   ]
#ExpectedUnits  [PART/FIS]
#xVariables     2
#+              Y = Y(X1,X2)
#COLUMNS        4
#HEADER         7           4           12
!DATA        DATA-ERR    EN          MASS        
!NO-DIM      NO-DIM      EV          NO-DIM      
!Y.Value     Y.Err+-     X1.Value    X2.Value    
!0.1         0.911       1.1         2.1         
!variable    variable    const       variable    
!1.0         1.0         1.0         1.0         
!NO-DIM      NO-DIM      EV          NO-DIM      
#DATA           77          4           12
#+   Type      : 92          : 7.922       
#+   Header    : MASS-RSL    : [Uncertainty: +-resolution]
#+   Units     : NO-DIM      : [no Dimensions]
#
#ENDDATASET     21095002 
#=============================================================================
#DATASET        21095003 
#NOW            2016/08/29:04:32:38
#SUBENT         21095003   20131020
#ENTRY          21095      20131020
#AUTHOR1        E.E.Maslin+
#YEAR           1967
#X4REF1         R,AWRE-O-43/67,196706
#REFERENCE1     Rept: A.W.R.E. Aldermaston Reports, No.43/67 (1967)
#REACTION       92-U-235(N,F)MASS,PR,NU,,MXW
#D4REAC         R0#
#C4Reaction     (N,F)MASS,PR,NU,,MXW
#ReactionType   NU
#Quantity       Prompt neutron yield (nu-bar)
#IndVarFamCode  [0 2    7   ]
#ExpectedUnits  [PART/FIS]
#xVariables     2
#+              Y = Y(X1,X2)
#COLUMNS        5
#HEADER         7           5           12
!DATA        ERR-S       EN-DUMMY    MASS        MASS-RSL    
!PRT/FIS     PRT/FIS     EV          NO-DIM      NO-DIM      
!Y.Value     Y.sErr+-    X1.Value    X2.Value    X2.Resl+-   
!0.1         0.944       1.1         2.1         2.922       
!variable    variable    const       variable    const       
!1.0         1.0         1.0         1.0         1.0         
!PART/FIS    PART/FIS    EV          NO-DIM      NO-DIM      
#DATA           15          5           12
 2.57        0.033       0.0253      141.        0.2         
 2.56        0.034       0.0253      143.        0.2         
 2.502       0.039       0.0253      145.        0.2         
 2.454       0.048       0.0253      147.        0.2         
 2.468       0.064       0.0253      149.        0.2         
 2.46        0.086       0.0253      151.        0.2         
 2.333       0.128       0.0253      153.        0.2         
 2.421       0.196       0.0253      155.        0.2         
 2.591       0.314       0.0253      157.        0.2         
 2.131       0.416       0.0253      159.        0.2         
 2.156       0.492       0.0253      161.        0.2         
 1.707       0.55        0.0253      163.        0.2         
 1.896       0.522       0.0253      165.        0.2         
 2.597       0.815       0.0253      169.        0.2         
 0.975       0.704       0.0253      175.        0.2         
#ENDDATA        15          5
#Legend         5           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : PRT/FIS     : [particles per fission]
#+   BasicUnits: PART/FIS    : Conv.Factor=1.
#
#COL-2         : Error       : variable    
#+   Rank      : 0.944       : Y.sErr+-    
#+   Type      : 21          : 0.944       
#+   Header    : ERR-S       : [Uncertainty: +-statistical error]
#+   Units     : PRT/FIS     : [particles per fission]
#+   BasicUnits: PART/FIS    : Conv.Factor=1.
#
#COL-3         : Data        : constant    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 43          : 2.1         
#+   Header    : EN-DUMMY    : [Incident energy: spectrum energy]
#+   Units     : EV          : [electron-Volts]
#
#COL-4         : Data        : variable    
#+   Rank      : 2.1         : X2.Value    
#+   Type      : 92          : 7.1         
#+   Header    : MASS        : [Isotope/particle identification: mass] Product mass
#+   Units     : NO-DIM      : [no Dimensions]
#
#COL-5         : Error       : constant    
#+   Rank      : 2.922       : X2.Resl+-   
#+   Type      : 92          : 7.922       
#+   Header    : MASS-RSL    : [Uncertainty: +-resolution]
#+   Units     : NO-DIM      : [no Dimensions]
#
#ENDDATASET     21095003 
#=============================================================================
#DATASET        21095004 
#NOW            2016/08/29:04:32:38
#SUBENT         21095004   20131020
#ENTRY          21095      20131020
#AUTHOR1        E.E.Maslin+
#YEAR           1967
#X4REF1         R,AWRE-O-43/67,196706
#REFERENCE1     Rept: A.W.R.E. Aldermaston Reports, No.43/67 (1967)
#REACTION       92-U-235(N,F)MASS,PR/FRG,NU,,MXW
#D4REAC         R0#
#C4Reaction     (N,F)MASS,PR/FRG,NU,,MXW
#ReactionType   NU
#Quantity       Mult. of prompt neutrons from the fragment spec.
#IndVarFamCode  [0 2    7   ]
#ExpectedUnits  [PART/FIS]
#xVariables     2
#+              Y = Y(X1,X2)
#COLUMNS        5
#HEADER         7           5           12
!DATA        ERR-S       EN-DUMMY    MASS        MASS-RSL    
!PRT/FIS     PRT/FIS     EV          NO-DIM      NO-DIM      
!Y.Value     Y.sErr+-    X1.Value    X2.Value    X2.Resl+-   
!0.1         0.944       1.1         2.1         2.922       
!variable    variable    const       variable    const       
!1.0         1.0         1.0         1.0         1.0         
!PART/FIS    PART/FIS    EV          NO-DIM      NO-DIM      
#DATA           11          5           12
 1.202       0.021       0.0253      141.        0.2         
 1.227       0.022       0.0253      143.        0.2         
 1.262       0.025       0.0253      145.        0.2         
 1.407       0.033       0.0253      147.        0.2         
 1.514       0.045       0.0253      149.        0.2         
 1.612       0.063       0.0253      151.        0.2         
 1.514       0.096       0.0253      153.        0.2         
 1.58        0.151       0.0253      155.        0.2         
 2.125       0.26        0.0253      157.        0.2         
 1.176       0.249       0.0253      159.        0.2         
 1.164       0.265       0.0253      165.        0.2         
#ENDDATA        11          5
#Legend         5           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : PRT/FIS     : [particles per fission]
#+   BasicUnits: PART/FIS    : Conv.Factor=1.
#
#COL-2         : Error       : variable    
#+   Rank      : 0.944       : Y.sErr+-    
#+   Type      : 21          : 0.944       
#+   Header    : ERR-S       : [Uncertainty: +-statistical error]
#+   Units     : PRT/FIS     : [particles per fission]
#+   BasicUnits: PART/FIS    : Conv.Factor=1.
#
#COL-3         : Data        : constant    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 43          : 2.1         
#+   Header    : EN-DUMMY    : [Incident energy: spectrum energy]
#+   Units     : EV          : [electron-Volts]
#
#COL-4         : Data        : variable    
#+   Rank      : 2.1         : X2.Value    
#+   Type      : 92          : 7.1         
#+   Header    : MASS        : [Isotope/particle identification: mass] Product mass
#+   Units     : NO-DIM      : [no Dimensions]
#
#COL-5         : Error       : constant    
#+   Rank      : 2.922       : X2.Resl+-   
#+   Type      : 92          : 7.922       
#+   Header    : MASS-RSL    : [Uncertainty: +-resolution]
#+   Units     : NO-DIM      : [no Dimensions]
#
#ENDDATASET     21095004 
#=============================================================================
#DATASET        21095005 
#NOW            2016/08/29:04:32:38
#SUBENT         21095005   20131020
#ENTRY          21095      20131020
#AUTHOR1        E.E.Maslin+
#YEAR           1967
#X4REF1         R,AWRE-O-43/67,196706
#REFERENCE1     Rept: A.W.R.E. Aldermaston Reports, No.43/67 (1967)
#REACTION       92-U-235(N,F)MASS,PR,NU,,MXW
#D4REAC         R0#
#C4Reaction     (N,F)MASS,PR,NU,,MXW
#ReactionType   NU
#Quantity       Prompt neutron yield (nu-bar)
#IndVarFamCode  [0 2    7   ]
#ExpectedUnits  [PART/FIS]
#xVariables     2
#+              Y = Y(X1,X2)
#COLUMNS        5
#HEADER         7           5           12
!DATA        ERR-S       EN-DUMMY    MASS        MASS-RSL    
!PRT/FIS     PRT/FIS     EV          NO-DIM      NO-DIM      
!Y.Value     Y.sErr+-    X1.Value    X2.Value    X2.Resl+-   
!0.1         0.944       1.1         2.1         2.922       
!variable    variable    const       variable    const       
!1.0         1.0         1.0         1.0         1.0         
!PART/FIS    PART/FIS    EV          NO-DIM      NO-DIM      
#DATA           11          5           12
 2.315       0.342       0.0253      119.        0.2         
 2.881       0.322       0.0253      121.        0.2         
 3.198       0.269       0.0253      123.        0.2         
 2.782       0.171       0.0253      125.        0.2         
 2.544       0.107       0.0253      127.        0.2         
 2.313       0.063       0.0253      129.        0.2         
 2.248       0.045       0.0253      131.        0.2         
 2.217       0.036       0.0253      133.        0.2         
 2.278       0.033       0.0253      135.        0.2         
 2.434       0.032       0.0253      137.        0.2         
 2.505       0.032       0.0253      139.        0.2         
#ENDDATA        11          5
#Legend         5           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : PRT/FIS     : [particles per fission]
#+   BasicUnits: PART/FIS    : Conv.Factor=1.
#
#COL-2         : Error       : variable    
#+   Rank      : 0.944       : Y.sErr+-    
#+   Type      : 21          : 0.944       
#+   Header    : ERR-S       : [Uncertainty: +-statistical error]
#+   Units     : PRT/FIS     : [particles per fission]
#+   BasicUnits: PART/FIS    : Conv.Factor=1.
#
#COL-3         : Data        : constant    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 43          : 2.1         
#+   Header    : EN-DUMMY    : [Incident energy: spectrum energy]
#+   Units     : EV          : [electron-Volts]
#
